Train 145 {from: Kyiv; to: Wien; depart: 20-06-1916 17:09:00; arrive: 22-06-1916 19:09:00}
Train 146 {from: London; to: Vilno; depart: 27-02-1916 09:09:00; arrive: 05-03-1916 12:09:00}
Train 147 {from: Kyiv; to: Erzurum; depart: 31-03-1916 10:48:00; arrive: 01-04-1916 17:48:00}
Train 148 {from: Athina; to: Vilno; depart: 06-03-1916 17:48:00; arrive: 11-03-1916 18:48:00}
Train 149 {from: Wien; to: Pamplona; depart: 03-04-1915 03:49:00; arrive: 08-04-1915 04:49:00}
Train 150 {from: Frankfurt; to: Ancora; depart: 24-11-1915 11:40:00; arrive: 28-11-1915 17:40:00}
Train 151 {from: Kharkov; to: Venezia; depart: 22-01-1915 15:57:00; arrive: 28-01-1915 22:57:00}
Train 152 {from: Athina; to: Ancora; depart: 21-11-1915 22:17:00; arrive: 28-11-1915 00:17:00}
Train 153 {from: Munchen; to: Brindisi; depart: 21-03-1916 03:34:00; arrive: 22-03-1916 12:34:00}
Train 154 {from: Brindisi; to: Budapest; depart: 14-12-1915 07:32:00; arrive: 17-12-1915 10:32:00}
Train 155 {from: Essen; to: Munchen; depart: 17-07-1915 15:20:00; arrive: 20-07-1915 15:20:00}
Train 156 {from: Venezia; to: Amsterdam; depart: 27-02-1915 06:14:00; arrive: 02-03-1915 12:14:00}
Train 157 {from: Budapest; to: Paris; depart: 15-04-1915 19:32:00; arrive: 21-04-1915 00:32:00}
Train 158 {from: Madrid; to: Kharkov; depart: 26-03-1916 00:24:00; arrive: 06-04-1916 02:24:00}
Train 159 {from: Sevastopol; to: Brindisi; depart: 12-04-1915 12:47:00; arrive: 18-04-1915 16:47:00}
Train 160 {from: Roma; to: Paris; depart: 28-04-1915 02:27:00; arrive: 30-04-1915 02:27:00}
Train 161 {from: Roma; to: Lisboa; depart: 07-06-1915 20:18:00; arrive: 12-06-1915 01:18:00}
Train 162 {from: Petrograd; to: Vilno; depart: 05-03-1916 09:21:00; arrive: 08-03-1916 11:21:00}
Train 163 {from: Warszawa; to: Erzurum; depart: 03-04-1915 10:50:00; arrive: 05-04-1915 14:50:00}
Train 164 {from: Kharkov; to: Palermo; depart: 15-07-1915 03:38:00; arrive: 22-07-1915 08:38:00}
Train 165 {from: Athina; to: Constantinopole; depart: 01-03-1915 04:15:00; arrive: 07-03-1915 04:15:00}
Train 166 {from: Moskva; to: London; depart: 03-07-1915 18:09:00; arrive: 14-07-1915 02:09:00}
Train 167 {from: Budapest; to: Bruxelles; depart: 28-05-1915 17:05:00; arrive: 02-06-1915 21:05:00}
Train 168 {from: Vilno; to: Athina; depart: 06-10-1915 14:07:00; arrive: 11-10-1915 19:07:00}
Train 169 {from: Paris; to: Pamplona; depart: 08-06-1915 09:37:00; arrive: 09-06-1915 14:37:00}
Train 170 {from: Danzig; to: Lisboa; depart: 29-04-1915 04:01:00; arrive: 06-05-1915 04:01:00}
Train 171 {from: Amsterdam; to: Kharkov; depart: 21-02-1916 00:35:00; arrive: 01-03-1916 06:35:00}
Train 172 {from: Lisboa; to: Wien; depart: 01-12-1915 00:46:00; arrive: 07-12-1915 02:46:00}
Train 173 {from: Zgrab; to: Sevastopol; depart: 15-07-1915 16:26:00; arrive: 19-07-1915 01:26:00}
Train 174 {from: Berlin; to: Petrograd; depart: 02-01-1915 03:20:00; arrive: 07-01-1915 11:20:00}
Train 175 {from: Danzig; to: Palermo; depart: 11-07-1915 20:23:00; arrive: 15-07-1915 20:23:00}
Train 176 {from: Budapest; to: Sarajevo; depart: 31-03-1915 22:13:00; arrive: 01-04-1915 03:13:00}
Train 177 {from: Danzig; to: Rostov; depart: 13-07-1916 06:51:00; arrive: 16-07-1916 07:51:00}
Train 178 {from: Roma; to: Venezia; depart: 07-04-1915 11:50:00; arrive: 07-04-1915 14:50:00}
Train 179 {from: Budapest; to: Moskva; depart: 08-11-1915 15:54:00; arrive: 12-11-1915 17:54:00}
Train 180 {from: Warszawa; to: Vilno; depart: 30-01-1916 12:56:00; arrive: 30-01-1916 15:56:00}
Train 181 {from: Athina; to: Erzurum; depart: 10-04-1915 10:20:00; arrive: 17-04-1915 17:20:00}
Train 182 {from: Kharkov; to: Madrid; depart: 28-01-1916 05:55:00; arrive: 08-02-1916 11:55:00}
Train 183 {from: Lisboa; to: Marseille; depart: 14-12-1915 15:58:00; arrive: 17-12-1915 15:58:00}
Train 184 {from: Lisboa; to: Essen; depart: 23-01-1915 21:23:00; arrive: 29-01-1915 03:23:00}
Train 185 {from: Budapest; to: Brindisi; depart: 19-03-1916 14:15:00; arrive: 22-03-1916 18:15:00}
Train 186 {from: Berlin; to: Rostov; depart: 13-03-1916 07:34:00; arrive: 18-03-1916 11:34:00}
Train 187 {from: London; to: Lisboa; depart: 22-08-1916 06:10:00; arrive: 23-08-1916 10:10:00}
Train 188 {from: Sevastopol; to: Lisboa; depart: 31-07-1915 06:16:00; arrive: 10-08-1915 13:16:00}
Train 189 {from: Amsterdam; to: Marseille; depart: 22-05-1916 01:17:00; arrive: 23-05-1916 02:17:00}
Train 190 {from: Ancora; to: London; depart: 15-01-1915 05:35:00; arrive: 23-01-1915 11:35:00}
Train 191 {from: Essen; to: Erzurum; depart: 04-06-1916 06:37:00; arrive: 09-06-1916 09:37:00}
Train 192 {from: Moskva; to: Petrograd; depart: 10-02-1915 10:27:00; arrive: 10-02-1915 18:27:00}
Train 193 {from: Bruxelles; to: Berlin; depart: 29-07-1915 10:08:00; arrive: 02-08-1915 13:08:00}
Train 194 {from: Kyiv; to: Venezia; depart: 03-07-1916 16:26:00; arrive: 07-07-1916 19:26:00}
Train 195 {from: Munchen; to: Danzig; depart: 25-06-1916 07:43:00; arrive: 30-06-1916 10:43:00}
Train 196 {from: Rostov; to: Constantinopole; depart: 11-12-1915 12:29:00; arrive: 12-12-1915 16:29:00}
Train 197 {from: Palermo; to: Moskva; depart: 13-07-1916 09:56:00; arrive: 21-07-1916 11:56:00}
Train 198 {from: Brindisi; to: Pamplona; depart: 04-10-1915 00:22:00; arrive: 07-10-1915 09:22:00}
Train 199 {from: Sarajevo; to: Danzig; depart: 15-07-1916 13:48:00; arrive: 15-07-1916 17:48:00}
Train 200 {from: Erzurum; to: Rostov; depart: 19-07-1915 19:34:00; arrive: 20-07-1915 01:34:00}
Train 201 {from: Munchen; to: Wien; depart: 24-04-1916 19:55:00; arrive: 27-04-1916 20:55:00}
Train 202 {from: Ancora; to: Athina; depart: 23-02-1916 09:39:00; arrive: 29-02-1916 10:39:00}
Train 203 {from: Erzurum; to: Kyiv; depart: 29-07-1916 04:49:00; arrive: 30-07-1916 13:49:00}
Train 204 {from: Buguresti; to: Palermo; depart: 13-04-1916 11:43:00; arrive: 18-04-1916 14:43:00}
Train 205 {from: Zgrab; to: Wien; depart: 23-06-1915 20:53:00; arrive: 24-06-1915 03:53:00}
Train 206 {from: Bruxelles; to: Munchen; depart: 19-07-1916 00:21:00; arrive: 19-07-1916 03:21:00}
Train 207 {from: Kyiv; to: Zurich; depart: 14-02-1915 13:37:00; arrive: 18-02-1915 13:37:00}
Train 208 {from: Budapest; to: Munchen; depart: 04-07-1916 20:57:00; arrive: 09-07-1916 01:57:00}
Train 209 {from: Lisboa; to: Madrid; depart: 08-04-1915 17:05:00; arrive: 09-04-1915 02:05:00}
Train 210 {from: Riga; to: Kharkov; depart: 31-05-1915 12:20:00; arrive: 03-06-1915 15:20:00}
Train 211 {from: Zurich; to: Roma; depart: 25-04-1915 17:42:00; arrive: 26-04-1915 01:42:00}
Train 212 {from: Lisboa; to: Moskva; depart: 20-06-1916 19:41:00; arrive: 02-07-1916 23:41:00}
